Timestamp,Callsign,lat,lon,Altitude,Speed,Direction
2025-05-01 14:35:25+00:00,N453QS,25.78756558693061,-80.21936956441624,1013.46,119.37040441021942,126.91866263474328
2025-05-01 14:35:26+00:00,N453QS,25.787017822265625,-80.21835327148438,1028.7,119.14419867736144,127.81630098139
2025-05-01 14:35:27+00:00,N453QS,25.786422729492188,-80.21713256835938,1043.94,119.23281745752432,128.51630744430642
2025-05-01 14:35:28+00:00,N453QS,25.78584315413136,-80.21594929245282,1059.18,119.12120125565627,128.96547785377263
2025-05-01 14:35:29+00:00,N453QS,25.785324096679688,-80.21499633789062,1066.8,119.01036026268744,129.4151342859197
2025-05-01 14:35:30+00:00,N453QS,25.784820556640625,-80.21397908528644,1082.04,119.09861006547258,130.11467513631936
2025-05-01 14:35:31+00:00,N453QS,25.7841796875,-80.21270751953125,1097.28,118.98882252119154,130.56442777624068
2025-05-01 14:35:32+00:00,N453QS,25.78342243776483,-80.211181640625,1112.52,118.87978914340808,131.01465651026487
2025-05-01 14:35:33+00:00,N453QS,25.78289794921875,-80.21006266276038,1127.76,118.96766064606402,131.71373939389568
2025-05-01 14:35:34+00:00,N453QS,25.782258631819385,-80.20884963701354,1143.0,118.85964756768986,132.16405780546063
2025-05-01 14:35:35+00:00,N453QS,25.78193664550781,-80.20823160807288,1150.62,118.94686488888162,132.86306866846158
2025-05-01 14:35:36+00:00,N453QS,25.78106689453125,-80.20645141601562,1173.48,118.83985330743644,133.31347515161002
2025-05-01 14:35:37+00:00,N453QS,25.78081551244703,-80.20594758807488,1173.48,118.7335627474384,133.76434354212572
2025-05-01 14:35:38+00:00,N453QS,25.77987670898437,-80.20401000976562,1196.34,118.92642583525362,134.01241514564595
2025-05-01 14:35:39+00:00,N453QS,25.77960515426377,-80.20351193985846,1203.96,118.82039746053536,134.46290813709226
2025-05-01 14:35:40+00:00,N453QS,25.778720661745236,-80.20169815927181,1226.8200000000002,118.7150775281166,134.91385852260524
2025-05-01 14:35:41+00:00,N453QS,25.77845764160156,-80.20116170247394,1234.44,118.6104596659652,135.36526173095237
2025-05-01 14:35:42+00:00,N453QS,25.77777099609375,-80.19978841145831,1249.68,118.69690465093576,136.0633873088224
2025-05-01 14:35:43+00:00,N453QS,25.777184437897244,-80.19864064342568,1264.92,118.5932278530974,136.51486673069292
2025-05-01 14:35:44+00:00,N453QS,25.776443481445312,-80.1971435546875,1287.78,118.5932278530974,136.51486673069292
2025-05-01 14:35:45+00:00,N453QS,25.77593994140625,-80.19607543945312,1295.4,118.49023488540116,136.96679019494238
2025-05-01 14:35:46+00:00,N453QS,25.775390625,-80.1949564615885,1310.64,118.3879196635404,137.41915332067123
2025-05-01 14:35:47+00:00,N453QS,25.774670617055083,-80.19345841317806,1333.5,118.3879196635404,137.41915332067123
2025-05-01 14:35:48+00:00,N453QS,25.774337768554688,-80.19282023111975,1341.12,118.47420361007435,138.11647804705592
2025-05-01 14:35:49+00:00,N453QS,25.773605346679688,-80.19134521484375,1363.98,118.47420361007435,138.11647804705592
2025-05-01 14:35:50+00:00,N453QS,25.77304128873146,-80.19019360812206,1379.22,118.37278964748162,138.5689077740898
2025-05-01 14:35:51+00:00,N453QS,25.77241516113281,-80.18890380859375,1394.46,118.37278964748162,138.5689077740898
2025-05-01 14:35:52+00:00,N453QS,25.77182006835937,-80.18768310546875,1409.7,118.27203607943274,139.02176880094646
2025-05-01 14:35:53+00:00,N453QS,25.77122575145657,-80.18641058004124,1432.5600000000002,118.45843702282428,139.26617653339866
2025-05-01 14:35:54+00:00,N453QS,25.770584106445312,-80.18513997395831,1447.8000000000002,118.35790864432025,139.71867173119574
2025-05-01 14:35:55+00:00,N453QS,25.769968841035485,-80.18381946491746,1463.04,118.35790864432025,139.71867173119574
2025-05-01 14:35:56+00:00,N453QS,25.769410214181672,-80.18273119656544,1478.28,118.25802961470691,140.17159426818895
2025-05-01 14:35:57+00:00,N453QS,25.76880503509004,-80.181487461306,1501.14,118.25802961470691,140.17159426818895
2025-05-01 14:35:58+00:00,N453QS,25.76824951171875,-80.1803080240885,1516.38,118.15879426385764,140.62494001527676
2025-05-01 14:35:59+00:00,N453QS,25.767654418945312,-80.1790873209635,1531.62,118.34327055873264,140.86844495928256
2025-05-01 14:36:00+00:00,N453QS,25.766989497815143,-80.17780807783015,1554.48,118.34327055873264,140.86844495928256
2025-05-01 14:36:01+00:00,N453QS,25.766477423199152,-80.17666798717568,1569.72,118.24425107080104,141.32142797579957
2025-05-01 14:36:02+00:00,N453QS,25.765914916992188,-80.17552693684894,1584.96,118.24425107080104,141.32142797579957
2025-05-01 14:36:03+00:00,N453QS,25.765267065015887,-80.1741805166568,1607.8200000000002,118.24425107080104,141.32142797579957
2025-05-01 14:36:04+00:00,N453QS,25.764633178710938,-80.17288208007812,1623.0600000000002,118.42767212638468,141.56560437240256
2025-05-01 14:36:05+00:00,N453QS,25.764083862304688,-80.1717631022135,1645.92,118.42767212638468,141.56560437240256
2025-05-01 14:36:06+00:00,N453QS,25.763451527740997,-80.170501133181,1661.16,118.42767212638468,141.56560437240256
2025-05-01 14:36:07+00:00,N453QS,25.762847900390625,-80.1693216959635,1684.02,118.42767212638468,141.56560437240256
2025-05-01 14:36:08+00:00,N453QS,25.762241169557733,-80.16801366266213,1699.26,118.5271082852634,141.1134051798443
2025-05-01 14:36:09+00:00,N453QS,25.76158943822828,-80.1667699274027,1722.12,118.5271082852634,141.1134051798443
2025-05-01 14:36:10+00:00,N453QS,25.76098425913665,-80.16552619214326,1737.36,118.62718347737386,140.66163374153058
2025-05-01 14:36:11+00:00,N453QS,25.7603325278072,-80.16417881227886,1760.22,118.62718347737386,140.66163374153058
2025-05-01 14:36:12+00:00,N453QS,25.75972734871557,-80.16298689932194,1775.46,118.72790326622308,140.2102941922609
2025-05-01 14:36:13+00:00,N453QS,25.75914001464844,-80.16179402669269,1798.3200000000002,118.82927327128344,139.7593907162681
2025-05-01 14:36:14+00:00,N453QS,25.758563542770126,-80.16065489571048,1813.56,118.64418289898276,139.512053089251
2025-05-01 14:36:15+00:00,N453QS,25.75795836367849,-80.15941116045104,1828.8,118.64418289898276,139.512053089251
2025-05-01 14:36:16+00:00,N453QS,25.75735318458686,-80.15821924749412,1844.04,118.82927327128344,139.7593907162681
2025-05-01 14:36:17+00:00,N453QS,25.756805419921875,-80.15706380208331,1859.28,118.82927327128344,139.7593907162681
2025-05-01 14:36:18+00:00,N453QS,25.756118774414062,-80.15569051106769,1874.52,118.82927327128344,139.7593907162681
2025-05-01 14:36:19+00:00,N453QS,25.755491095074152,-80.1544362194133,1889.76,118.72790326622308,140.2102941922609
2025-05-01 14:36:20+00:00,N453QS,25.75488591598252,-80.15319248415386,1897.38,118.91192546956528,140.45828647304197
2025-05-01 14:36:21+00:00,N453QS,25.754327289128707,-80.1521042158019,1912.62,118.81079374297308,140.90883169020762
2025-05-01 14:36:22+00:00,N453QS,25.75341796875,-80.15029907226562,1920.24,118.81079374297308,140.90883169020762
2025-05-01 14:36:23+00:00,N453QS,25.7530517578125,-80.1495361328125,1927.86,118.71030698780017,141.359813111484
2025-05-01 14:36:24+00:00,N453QS,25.75250244140625,-80.14846801757812,1935.48,118.89286626611916,141.6076611968248
2025-05-01 14:36:25+00:00,N453QS,25.75190734863281,-80.14719645182288,1943.1,118.79261326460082,142.05828708494064
2025-05-01 14:36:26+00:00,N453QS,25.751266479492188,-80.14597574869788,1950.72,118.79261326460082,142.05828708494064
2025-05-01 14:36:27+00:00,N453QS,25.75067138671875,-80.14475504557288,1958.34,118.79261326460082,142.05828708494064
2025-05-01 14:36:28+00:00,N453QS,25.74999793101165,-80.14339806898585,1965.96,118.79261326460082,142.05828708494064
2025-05-01 14:36:29+00:00,N453QS,25.7493461996822,-80.14205068912145,1973.58,118.79261326460082,142.05828708494064
2025-05-01 14:36:30+00:00,N453QS,25.748703002929688,-80.14073689778644,1981.2,118.79261326460082,142.05828708494064
2025-05-01 14:36:31+00:00,N453QS,25.748016357421875,-80.139414469401,1988.82,118.79261326460082,142.05828708494064
2025-05-01 14:36:32+00:00,N453QS,25.74767031912076,-80.13873406176299,1996.44,118.79261326460082,142.05828708494064
2025-05-01 14:36:33+00:00,N453QS,25.746739274364405,-80.13686845887383,2004.06,118.79261326460082,142.05828708494064
2025-05-01 14:36:34+00:00,N453QS,25.746134095272776,-80.1356247236144,2011.68,118.79261326460082,142.05828708494064
2025-05-01 14:36:35+00:00,N453QS,25.745528916181144,-80.13438098835496,2019.3,118.79261326460082,142.05828708494064
2025-05-01 14:36:36+00:00,N453QS,25.744877184851696,-80.13313725309553,2026.92,118.79261326460082,142.05828708494064
2025-05-01 14:36:37+00:00,N453QS,25.744225453522244,-80.13178987323113,2034.54,118.79261326460082,142.05828708494064
2025-05-01 14:36:38+00:00,N453QS,25.7438530356197,-80.131012538694,2034.54,118.79261326460082,142.05828708494064
2025-05-01 14:36:39+00:00,N453QS,25.743247856528072,-80.12976880343456,2042.16,118.79261326460082,142.05828708494064
2025-05-01 14:36:40+00:00,N453QS,25.742503020722985,-80.1283177789652,2049.78,118.89286626611916,141.6076611968248
2025-05-01 14:36:41+00:00,N453QS,25.741851289393537,-80.12707404370576,2057.4,118.71030698780017,141.359813111484
2025-05-01 14:36:42+00:00,N453QS,25.741246110301905,-80.12583030844633,2072.6400000000003,118.71030698780017,141.359813111484
2025-05-01 14:36:43+00:00,N453QS,25.740594378972457,-80.12448292858193,2080.26,118.81079374297308,140.90883169020762
2025-05-01 14:36:44+00:00,N453QS,25.739989199880824,-80.12323919332249,2087.88,118.91192546956528,140.45828647304197
2025-05-01 14:36:45+00:00,N453QS,25.73963928222656,-80.12257893880206,2095.5,118.72790326622308,140.2102941922609
2025-05-01 14:36:46+00:00,N453QS,25.73901160288665,-80.12132176813088,2110.74,118.82927327128344,139.7593907162681
2025-05-01 14:36:47+00:00,N453QS,25.73812866210937,-80.11952718098956,2125.98,118.64418289898276,139.512053089251
2025-05-01 14:36:48+00:00,N453QS,25.737533569335938,-80.11830647786456,2141.2200000000003,118.64418289898276,139.512053089251
2025-05-01 14:36:49+00:00,N453QS,25.7369384765625,-80.11708577473956,2156.46,118.45843702282428,139.26617653339866
2025-05-01 14:36:50+00:00,N453QS,25.736572265625,-80.11637369791663,2164.08,118.08498056398314,138.77883765226645
2025-05-01 14:36:51+00:00,N453QS,25.73597717285156,-80.11515299479163,2179.32,117.61013190297004,138.75309062910077
2025-05-01 14:36:52+00:00,N453QS,25.7354736328125,-80.11396300117923,2194.56,116.94574842850476,138.50300058227558
2025-05-01 14:36:53+00:00,N453QS,25.7346822447696,-80.11225286519749,2217.42,116.46987555114204,138.50013434075225
2025-05-01 14:36:54+00:00,N453QS,25.734100341796875,-80.11093139648438,2240.28,115.51823482267456,138.5230626123523
2025-05-01 14:36:55+00:00,N453QS,25.733658095537606,-80.10986903928358,2255.52,114.84955063026176,138.33187756145898
2025-05-01 14:36:56+00:00,N453QS,25.733184814453125,-80.10869344075519,2270.76,114.17910714668918,138.1595848156544
2025-05-01 14:36:57+00:00,N453QS,25.73272705078125,-80.10748521336967,2286.0,113.50708169543653,138.00625513277373
2025-05-01 14:36:58+00:00,N453QS,25.732177734375,-80.10615030924475,2308.86,112.75097634278764,138.34622560487696
2025-05-01 14:36:59+00:00,N453QS,25.731749453787074,-80.10494592054835,2324.1,112.27589784825898,138.42750309310676
2025-05-01 14:37:00+00:00,N453QS,25.73130798339844,-80.10370890299475,2339.34,111.6035657301602,138.3280511651991
2025-05-01 14:37:01+00:00,N453QS,25.73081840903072,-80.10225116081955,2362.2000000000003,110.93035901125867,138.24767237937323
2025-05-01 14:37:02+00:00,N453QS,25.730306334414724,-80.10080013635024,2377.44,110.45631376327805,138.3653540150071
2025-05-01 14:37:03+00:00,N453QS,25.72993469238281,-80.09958902994788,2392.6800000000003,109.9106261310714,138.97607302822053
2025-05-01 14:37:04+00:00,N453QS,25.729522705078125,-80.0982666015625,2407.92,109.4400348281762,139.11406652660975
2025-05-01 14:37:05+00:00,N453QS,25.72909597623146,-80.09701710826943,2423.1600000000003,109.23998876249188,138.94369609649317
2025-05-01 14:37:06+00:00,N453QS,25.728744506835938,-80.09577433268225,2438.4,108.97040780848656,139.26142561056196
2025-05-01 14:37:07+00:00,N453QS,25.72833251953125,-80.09445190429688,2453.6400000000003,108.97040780848656,139.26142561056196
2025-05-01 14:37:08+00:00,N453QS,25.72796630859375,-80.09328206380206,2468.88,108.90184239575945,139.74802847207843
2025-05-01 14:37:09+00:00,N453QS,25.727559752383478,-80.09204216723174,2484.1200000000003,108.90184239575945,139.74802847207843
2025-05-01 14:37:10+00:00,N453QS,25.72718811035156,-80.09078979492188,2499.36,108.90184239575945,139.74802847207843
2025-05-01 14:37:11+00:00,N453QS,25.726730346679688,-80.08931477864581,2514.6,109.10114879310515,139.91552800597196
2025-05-01 14:37:12+00:00,N453QS,25.726318359375,-80.08799235026038,2529.84,109.03244977613063,140.40174885376237
2025-05-01 14:37:13+00:00,N453QS,25.725837319584212,-80.08649718086673,2545.08,109.23067237566129,140.57035214372303
2025-05-01 14:37:14+00:00,N453QS,25.725418349443856,-80.08514980100233,2560.32,109.23067237566129,140.57035214372303
2025-05-01 14:37:15+00:00,N453QS,25.72499937930349,-80.08385424344044,2575.56,109.4284176792046,140.7406338897332
2025-05-01 14:37:16+00:00,N453QS,25.724624633789062,-80.08260091145831,2590.8,109.35899417569472,141.2258879842759
2025-05-01 14:37:17+00:00,N453QS,25.72420799126059,-80.08131495061912,2606.04,109.35899417569472,141.2258879842759
2025-05-01 14:37:18+00:00,N453QS,25.7237548828125,-80.0799560546875,2621.28,109.55566692045676,141.39725198206338
2025-05-01 14:37:19+00:00,N453QS,25.72337005097987,-80.07867201319277,2636.52,109.55566692045676,141.39725198206338
