Timestamp,Callsign,lat,lon,Altitude,Speed,Direction
2024-10-24 10:03:56+00:00,SHH3006,25.76898193359375,-80.18905639648438,1005.84,102.72435568542238,130.79428866487652
2024-10-24 10:03:57+00:00,SHH3006,25.76852572166313,-80.18703244767096,1028.7,103.65354834171802,130.76292179302138
2024-10-24 10:03:58+00:00,SHH3006,25.76833951271186,-80.18625511313383,1043.94,104.30881885930616,131.13580188491247
2024-10-24 10:03:59+00:00,SHH3006,25.767920542571503,-80.18449315484963,1059.18,105.23540911335944,131.16304417398098
2024-10-24 10:04:00+00:00,SHH3006,25.7677001953125,-80.18376668294269,1074.42,106.16137250672044,131.22457074558474
2024-10-24 10:04:01+00:00,SHH3006,25.76731536347987,-80.1823684404481,1097.28,107.08622672886553,131.3203334108275
2024-10-24 10:04:02+00:00,SHH3006,25.7669677734375,-80.1812744140625,1104.9,107.72762945437776,131.7820379410803
2024-10-24 10:04:03+00:00,SHH3006,25.766523975436968,-80.17977732532427,1127.76,108.43494882292202,131.7719962572206
2024-10-24 10:04:04+00:00,SHH3006,25.76610500529661,-80.17853359006483,1143.0,109.27954286834158,132.4371108993218
2024-10-24 10:04:05+00:00,SHH3006,25.765777587890625,-80.17740885416663,1158.24,109.98310652189998,132.47107809914544
2024-10-24 10:04:06+00:00,SHH3006,25.76527404785156,-80.176035563151,1173.48,110.6079200623698,133.00640959967276
2024-10-24 10:04:07+00:00,SHH3006,25.764862060546875,-80.174814860026,1188.72,111.30784714082412,133.07802216704948
2024-10-24 10:04:08+00:00,SHH3006,25.76449584960937,-80.17384847005206,1196.34,111.30784714082412,133.07802216704948
2024-10-24 10:04:09+00:00,SHH3006,25.76376342773437,-80.17196655273438,1219.2,112.82298059765483,133.9541447960829
2024-10-24 10:04:10+00:00,SHH3006,25.76335842326536,-80.17086388929835,1234.44,113.51609536165668,134.08842480099628
2024-10-24 10:04:11+00:00,SHH3006,25.76284634864936,-80.16967197634136,1249.68,114.20772233099608,134.24228646651414
2024-10-24 10:04:12+00:00,SHH3006,25.76234436035156,-80.16855875651038,1264.92,115.09625046269218,134.6330515494789
2024-10-24 10:04:13+00:00,SHH3006,25.761749267578125,-80.167236328125,1280.16,115.78290482302135,134.83144440600682
2024-10-24 10:04:14+00:00,SHH3006,25.76133728027344,-80.166269938151,1295.4,116.6624928850271,135.27920997745832
2024-10-24 10:04:15+00:00,SHH3006,25.76087951660156,-80.16535441080725,1310.64,117.3432142547525,135.5215794777754
2024-10-24 10:04:16+00:00,SHH3006,25.76019287109375,-80.16391970076648,1325.88,118.0214098114177,135.78300854215684
