callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1026,0,0,2.558,52.982,29
AAL1511,2875,0,-47.286,-47.278,0
AAL1613,801,0,-44.685,-40.421,0
AAL165,2481,0,-45.403,-45.401,0
AAL1821,0,0,9.206,69.183,3
AAL2733,59,0,-48.729,635.953,6
AAL714,1971,0,-46.28,-46.273,0
AAL9601,0,0,169.489,285.937,0
AAL972,0,0,5.301,54.347,19
AJT8313,1426,0,-46.212,-46.185,0
CMP298,0,0,566.924,567.29,0
CMP349,0,0,767.598,775.393,0
ENY3814,0,0,673.77,673.77,0
FFT1418,0,0,671.559,671.56,0
FFT161,0,0,215.267,635.742,0
FFT3378,103,0,-60.976,620.88,9
FFT3470,0,0,122.941,546.395,0
N453QS,3107,0,-43.549,-43.546,0
NAC802,4329,0,-45.035,-44.214,0
NAC811,0,0,7.896,49.011,9
NKS1155,0,0,674.118,674.118,0
NKS1171,63,0,-29.997,624.55,6
NKS1210,0,0,8.945,137.222,2
NKS1846,70,0,-50.906,646.406,7
NKS1847,0,0,671.111,671.111,0
NKS1904,0,0,671.786,671.787,0
NKS2012,36,0,-22.755,654.914,4
NKS210,20,0,-25.525,642.502,8
NKS271,85,0,-49.295,495.695,6
NKS272,0,0,669.201,671.512,0
NKS2801,0,0,668.951,669.826,0
NKS3010,0,0,671.299,671.3,0
NKS939,78,0,-40.36,647.579,4
NKS956,42,0,-32.031,661.587,5
SHH3006,3620,0,-44.706,-42.587,0
TXG403,1556,0,-46.133,-45.679,0
UAL1020,0,0,603.006,611.595,0
UAL1058,0,0,211.66,578.812,0
UAL1059,0,0,202.713,493.414,0
UAL1457,0,0,670.541,672.295,0
UAL1739,0,0,104.952,669.088,0
UAL1848,0,0,669.294,669.295,0
UAL1927,115,0,-41.356,638.042,5
UAL1956,63,0,-25.568,644.03,4
UAL2657,0,0,672.5,672.501,0
UAL2662,0,0,669.559,672.311,0
UAL496T,0,0,672.762,672.774,0
UAL723,0,0,675.496,675.498,0
VIV560,0,0,679.127,718.539,0
XLS500,0,0,206.699,537.638,0
