callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1026,0,0,4.854,51.889,10
AAL1028,0,0,765.879,781.462,0
AAL1465,0,0,6.631,128.75,14
AAL1511,122,0,-52.822,477.304,17
AAL1613,220,0,-66.592,184.362,12
AAL165,75,0,-57.473,423.558,121
AAL1821,0,0,6.893,67.441,11
AAL1856,59,0,-44.38,31.13,79
AAL217R,0,0,7.954,256.627,7
AAL2541,4578,1,-70.585,-57.992,8
AAL2733,564,6,-60.602,319.658,30
AAL324,0,0,10.016,176.206,0
AAL714,92,0,-57.904,562.553,73
AAL9601,0,0,169.489,285.937,0
AAL967,199,0,-65.74,391.088,11
AAL972,0,0,8.641,53.627,4
AJT8313,136,0,-50.555,371.283,73
CMP298,0,0,566.924,567.29,0
CMP349,0,0,759.187,767.675,0
ENY3689,926,11,-82.256,390.552,53
ENY3814,0,0,10.033,373.794,0
ENY4071,1134,3,-69.699,214.953,312
FFT1418,0,0,104.812,142.476,0
FFT161,0,0,202.993,361.175,0
FFT1737,0,0,94.132,506.187,0
FFT2284,279,1,-85.744,242.186,91
FFT3378,100,0,-61.767,621.565,8
FFT3470,0,0,123.558,155.834,0
FFT4879,0,0,160.888,193.875,0
GXA401,0,0,5.711,65.365,11
N453QS,128,0,-54.604,562.327,75
NAC802,257,0,-54.01,614.082,14
NAC810,197,0,-54.959,579.094,14
NAC811,0,0,7.423,47.234,9
NKS1155,0,0,9.345,206.756,2
NKS1171,933,10,-58.559,288.936,55
NKS1210,0,0,10.011,157.535,0
NKS1562,0,0,92.918,383.823,0
NKS1564,92,0,-40.99,623.534,6
NKS1708,0,0,10.214,86.384,0
NKS1846,394,7,-63.768,356.629,63
NKS1847,0,0,11.062,334.276,0
NKS1904,0,0,7.409,165.501,12
NKS2012,105,0,-60.797,648.137,4
NKS210,506,6,-39.134,493.44,32
NKS271,123,1,-50.855,475.573,12
NKS272,0,0,435.912,444.156,0
NKS2801,0,0,9.4,85.04,6
NKS3010,0,0,12.868,114.869,0
NKS687,0,0,8.565,268.991,5
NKS797,0,0,5.658,100.988,30
NKS939,4396,0,-70.334,-70.212,0
NKS956,1035,12,-59.868,333.087,62
SHH3006,600,3,-65.751,268.135,137
SWA4490,0,0,118.772,319.85,0
TXG403,110,0,-55.442,399.689,17
UAL1020,0,0,604.842,611.929,0
UAL1058,0,0,211.66,578.799,0
UAL1059,0,0,202.828,539.432,0
UAL1167,0,0,200.511,227.516,0
UAL1457,0,0,10.051,221.926,0
UAL1739,0,0,103.325,365.898,0
UAL1795,91,0,-42.481,606.402,26
UAL1848,0,0,10.011,136.557,0
UAL1927,128,0,-46.464,448.853,4
UAL1956,117,0,-24.941,643.311,4
UAL2162,823,10,-44.632,332.887,67
UAL2245,0,0,126.437,182.638,0
UAL2657,0,0,17.115,97.833,0
UAL2662,0,0,118.584,181.314,0
UAL413,0,0,97.494,152.125,0
UAL496T,0,0,101.485,312.064,0
UAL723,0,0,10.014,264.108,0
VIV560,0,0,677.235,718.46,0
XLS500,0,0,206.699,536.197,0
