callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1026,0,0,9.787,51.84,1
AAL1511,447,2,-53.993,251.109,314
AAL1613,114,0,-53.357,218.212,89
AAL165,113,0,-66.691,426.256,72
AAL1821,0,0,7.814,67.102,8
AAL2733,498,5,-63.351,392.745,27
AAL714,79,0,-58.27,592.575,35
AAL9601,0,0,167.811,286.382,0
AAL972,0,0,5.862,53.359,12
AJT8313,108,0,-52.236,382.254,12
CMP298,0,0,566.924,567.29,0
CMP349,0,0,767.598,775.393,0
ENY3814,0,0,7.382,104.26,7
FFT1418,0,0,105.433,142.286,0
FFT161,0,0,204.704,540.039,0
FFT3378,98,1,-61.098,615.844,42
FFT3470,0,0,123.544,155.47,0
N453QS,179,0,-60.417,560.938,17
NAC802,400,1,-72.061,495.0,130
NAC811,0,0,7.914,47.481,6
NKS1155,0,0,10.088,303.781,0
NKS1171,1016,11,-62.163,254.175,61
NKS1210,0,0,9.904,130.235,1
NKS1846,100,0,-41.018,512.929,4
NKS1847,0,0,17.531,452.162,0
NKS1904,0,0,10.066,216.616,0
NKS2012,105,0,-60.417,648.509,5
NKS210,354,4,-61.901,539.953,25
NKS271,91,0,-49.33,498.586,6
NKS272,0,0,10.875,162.792,0
NKS2801,0,0,10.042,225.045,0
NKS3010,0,0,10.013,245.819,0
NKS939,381,7,-62.294,415.024,39
NKS956,920,10,-59.928,384.44,65
SHH3006,483,2,-64.376,353.657,31
TXG403,137,0,-49.849,392.647,69
UAL1020,0,0,604.842,611.929,0
UAL1058,0,0,211.66,579.025,0
UAL1059,0,0,198.243,468.942,0
UAL1457,0,0,11.011,126.535,0
UAL1739,0,0,104.952,394.349,0
UAL1848,0,0,11.233,413.265,0
UAL1927,127,0,-46.067,616.55,5
UAL1956,292,3,-31.961,348.424,20
UAL2657,0,0,11.19,92.992,0
UAL2662,0,0,122.564,492.607,0
UAL496T,0,0,90.335,155.162,0
UAL723,0,0,11.054,222.353,0
VIV560,0,0,677.378,718.444,0
XLS500,0,0,206.699,537.679,0
