callsign,steps_in_tfr,tfr_entries,min_tfr_dist_nm,avg_tfr_dist_nm,tfr_warnings
AAL1026,0,0,6.552,53.157,18
AAL1028,0,0,765.88,782.569,0
AAL1465,0,0,666.488,666.492,0
AAL1511,2875,0,-46.839,-46.832,0
AAL1613,801,0,-44.685,-40.427,0
AAL165,2481,0,-46.087,-46.039,0
AAL1821,0,0,6.514,69.855,8
AAL1856,5583,0,-48.264,-48.259,0
AAL217R,0,0,7.876,283.976,15
AAL2541,4787,0,-45.859,-45.807,0
AAL2733,3023,0,-47.539,-47.537,0
AAL324,0,0,18.498,64.535,0
AAL714,1971,0,-44.953,-44.897,0
AAL9601,0,0,169.985,287.819,0
AAL967,2428,0,-47.776,-47.767,0
AAL972,0,0,5.258,54.4,20
AJT8313,1426,0,-45.272,-45.253,0
CMP298,0,0,566.924,567.29,0
CMP349,0,0,759.187,767.675,0
ENY3689,6204,0,-39.984,-35.721,0
ENY3814,0,0,673.77,673.77,0
ENY4071,71,0,-54.679,613.834,6
FFT1418,0,0,671.559,671.56,0
FFT161,0,0,215.267,621.432,0
FFT1737,0,0,108.044,669.703,0
FFT2284,1352,0,-44.76,-44.759,0
FFT3378,3743,0,-44.538,-44.538,0
FFT3470,0,0,123.846,544.632,0
FFT4879,0,0,164.04,195.252,0
GXA401,0,0,7.351,62.291,19
N453QS,3107,0,-43.913,-43.908,0
NAC802,4329,0,-45.035,-44.5,0
NAC810,3464,0,-43.372,-43.072,0
NAC811,0,0,7.886,49.084,8
NKS1155,0,0,674.118,674.118,0
NKS1171,63,0,-29.997,617.758,6
NKS1210,0,0,10.016,143.354,0
NKS1562,0,0,107.408,642.796,0
NKS1564,74,0,-41.312,629.676,5
NKS1708,0,0,670.009,670.012,0
NKS1846,57,0,-41.018,651.204,6
NKS1847,0,0,669.123,669.128,0
NKS1904,0,0,669.257,669.261,0
NKS2012,41,0,-22.755,630.636,4
NKS210,20,0,-25.525,642.802,8
NKS271,5080,0,-45.378,-45.335,0
NKS272,0,0,669.201,669.204,0
NKS2801,0,0,667.84,667.843,0
NKS3010,0,0,669.093,669.097,0
NKS687,0,0,667.29,669.317,0
NKS797,0,0,671.446,671.448,0
NKS939,61,0,-40.36,654.858,5
NKS956,44,0,-33.512,670.803,5
SHH3006,3620,0,-44.706,-42.587,0
SWA4490,0,0,670.417,670.419,0
TXG403,1556,0,-46.133,-45.428,0
UAL1020,0,0,604.842,611.929,0
UAL1058,0,0,211.66,580.017,0
UAL1059,0,0,202.713,470.272,0
UAL1167,0,0,667.407,667.411,0
UAL1457,0,0,668.566,668.571,0
UAL1739,0,0,104.952,663.639,0
UAL1795,123,0,-41.416,609.259,4
UAL1848,0,0,667.296,667.299,0
UAL1927,110,0,-47.469,612.917,5
UAL1956,61,0,-24.262,625.734,4
UAL2162,45,0,-33.971,633.021,6
UAL2245,0,0,667.111,667.117,0
UAL2657,0,0,669.933,669.936,0
UAL2662,0,0,670.06,670.064,0
UAL413,0,0,669.599,669.602,0
UAL496T,0,0,671.458,671.473,0
UAL723,0,0,674.797,674.799,0
VIV560,0,0,678.457,718.497,0
XLS500,0,0,206.699,536.612,0
