index,Active Flights,Total Conflicts,Flights Airborne,Avg Altitude (ft),Avg Speed (kts),In TFR,TFR Warnings,Mode
0,75,0,75,1279.9568000000004,150.73696463796222,30,0,baseline
1,75,323,75,1306.9823999999999,150.17654610617433,30,0,baseline
2,75,322,75,1331.1632,149.72381341393125,30,0,baseline
3,75,322,75,1349.248,149.29291269045254,30,0,baseline
4,75,311,75,1366.52,150.90445073963264,30,0,baseline
5,74,302,74,1375.3070270270273,155.08313689239003,30,0,baseline
6,74,295,74,1391.370810810811,154.59766449879402,30,0,baseline
7,74,281,74,1408.2583783783782,154.41583665687727,30,0,baseline
8,74,264,74,1426.8964864864865,154.43981774232068,30,0,baseline
9,74,260,74,1442.3424324324324,154.12692932083652,30,0,baseline
10,74,249,74,1459.127027027027,154.06583808735564,30,0,baseline
11,74,239,74,1484.4583783783783,154.06461582690662,30,0,baseline
12,74,227,74,1509.068918918919,149.45512803694473,30,0,baseline
13,74,217,74,1529.4575675675676,149.2449081205718,30,0,baseline
14,74,205,74,1558.2900000000002,153.9621096076011,30,0,baseline
15,74,202,74,1582.1797297297298,154.0706052818489,30,0,baseline
16,74,196,74,1605.0397297297297,154.08676278503296,30,0,baseline
17,74,191,74,1622.1332432432432,158.85460528359522,30,0,baseline
18,74,190,74,1645.611081081081,158.7716632621283,30,0,baseline
19,74,186,74,1662.0867567567568,158.65198686589346,30,0,baseline
20,74,188,74,1677.8416216216217,158.4444146326262,30,0,baseline
21,74,182,74,1694.0083783783784,158.32899332408715,30,0,baseline
22,74,182,74,1710.6900000000003,163.01385136953175,30,0,baseline
23,74,180,74,1729.8429729729733,162.92770910334988,30,0,baseline
24,74,180,74,1744.7740540540544,164.93541779656064,30,0,baseline
25,74,176,74,1761.8675675675674,172.28139861793298,30,0,baseline
26,74,169,74,1789.0524324324324,172.0681703184832,30,0,baseline
27,74,168,74,1811.2945945945949,171.6346828580387,30,0,baseline
28,74,162,74,1896.0413513513513,171.48557035759183,30,0,baseline
29,74,163,74,1917.2537837837842,171.50412834996732,30,0,baseline
30,74,163,74,1938.672162162162,168.80043200860422,30,0,baseline
31,74,161,74,1959.8845945945948,168.82767017649113,30,0,baseline
32,74,158,74,1978.934594594595,173.63116698522762,30,0,baseline
33,74,156,74,2030.1121621621623,175.99070546316028,30,0,baseline
34,74,154,74,2162.6383783783785,175.94793423003367,30,0,baseline
35,74,154,74,2188.9994594594596,175.85900588666658,30,0,baseline
36,74,149,74,2224.834054054054,175.57455313717966,30,0,baseline
37,74,144,74,2322.5554054054055,175.26628874873023,30,0,baseline
38,74,144,74,2341.7083783783787,174.82378765473823,30,0,baseline
39,74,139,74,2379.911351351351,174.57414116906352,30,0,baseline
40,74,132,74,2402.7713513513518,174.41774452779237,30,0,baseline
41,74,131,74,2445.9170270270274,174.07812288997638,30,0,baseline
42,74,123,74,2561.761621621622,176.420192432145,30,0,baseline
43,74,122,74,2579.2670270270273,178.54671862992538,30,0,baseline
44,74,119,74,2602.2300000000005,178.54181406421046,30,0,baseline
45,74,118,74,2619.3235135135137,178.55955893099156,30,0,baseline
46,74,118,74,2651.348108108108,178.56678649815888,30,0,baseline
47,74,119,74,2705.7178378378376,178.41154089633474,30,0,baseline
48,74,116,74,2727.4451351351354,178.31588957200833,30,0,baseline
49,74,112,74,2808.484864864865,178.2910216059641,30,0,baseline
50,74,115,74,2863.266486486487,178.20817829119372,30,0,baseline
51,74,112,74,2880.565945945946,178.12320996015478,30,0,baseline
52,74,113,74,2895.1881081081083,178.11827114316878,30,0,baseline
53,74,110,74,2996.1016216216217,177.8913914651029,30,0,baseline
54,74,108,74,3069.5213513513518,177.8033035093021,30,0,baseline
55,74,108,74,3082.495945945946,177.72526262868925,30,0,baseline
56,74,108,74,3102.266756756757,177.56819367582398,30,0,baseline
57,74,108,74,3122.9643243243245,177.4843229758276,30,0,baseline
58,74,105,74,3162.402972972973,176.9769681509521,30,0,baseline
59,74,105,74,3182.5856756756757,181.64245926372408,30,0,baseline
60,74,102,74,3195.766216216216,181.59468466269874,30,0,baseline
61,74,103,74,3221.921351351352,181.53298542550905,30,0,baseline
62,74,103,74,3238.088108108108,181.37652045257022,30,0,baseline
63,74,103,74,3251.4745945945947,186.11772870100225,30,0,baseline
64,74,104,74,3263.7283783783782,185.87258000453258,30,0,baseline
65,74,103,74,3281.233783783784,185.6579184463217,30,0,baseline
66,74,101,74,3298.739189189189,185.47139629779485,30,0,baseline
67,74,103,74,3318.818918918919,185.3273778653766,30,0,baseline
68,74,100,74,3333.955945945946,185.16103031586465,30,0,baseline
69,74,101,74,3349.710810810811,185.02064150643884,30,0,baseline
70,74,102,74,3365.3627027027023,184.78454007744008,30,0,baseline
71,74,103,74,3385.2364864864867,184.55899942485567,30,0,baseline
72,74,100,74,3397.4902702702702,184.37861253019744,30,0,baseline
73,74,98,74,3410.876756756757,184.18841978411413,30,0,baseline
74,74,98,74,3431.574324324324,184.01280606089026,30,0,baseline
75,74,100,74,3446.4024324324323,183.8344112964574,30,0,baseline
76,74,102,74,3458.2443243243247,183.6299070571283,30,0,baseline
77,74,99,74,3471.0129729729733,183.40925023419499,30,0,baseline
78,74,99,74,3576.251351351351,183.23855559997747,30,0,baseline
79,74,99,74,3609.3056756756755,182.94537776690197,30,0,baseline
80,74,97,74,3628.8705405405403,182.74718093362492,30,0,baseline
81,74,90,74,3733.902972972973,182.33343903479513,30,0,baseline
82,74,91,74,3755.7332432432427,182.19102584392513,30,0,baseline
83,74,88,74,3770.4583783783783,181.92118343660408,30,0,baseline
84,74,89,74,3798.5699999999997,182.08998589614774,30,0,baseline
85,74,87,74,3823.386486486487,181.7243422673826,30,0,baseline
86,74,87,74,3910.295675675675,181.52787420445608,30,0,baseline
87,74,89,74,3919.8721621621617,181.2460524810833,30,0,baseline
88,74,85,74,3931.302162162161,181.04037701329815,30,0,baseline
89,74,88,74,3941.2905405405404,180.7332708595589,30,0,baseline
90,74,85,74,3953.02945945946,180.4140278464485,30,0,baseline
91,74,84,74,3963.738648648649,180.25264897160218,30,0,baseline
92,74,85,74,3974.653783783783,179.97433885009696,30,0,baseline
93,74,84,74,3985.568918918919,179.67008802704188,30,0,baseline
94,74,83,74,3996.2781081081084,179.53396922748024,30,0,baseline
95,74,84,74,4009.8705405405403,179.2761995420161,30,0,baseline
96,74,83,74,4020.682702702702,178.99139170917078,30,0,baseline
97,74,82,74,4031.597837837837,178.87726618802859,30,0,baseline
98,74,81,74,4042.1010810810817,178.66647211490223,30,0,baseline
99,74,81,74,4053.1191891891895,178.47452707867123,30,0,baseline
100,74,80,74,4064.446216216216,178.28532444461567,30,0,baseline
101,74,78,74,4075.2583783783784,178.17571849753264,30,0,baseline
102,74,77,74,4088.4389189189187,178.01447243105463,30,0,baseline
103,74,77,74,4100.486756756756,177.85879374116377,30,0,baseline
104,74,75,74,4111.092972972972,177.71777196465365,30,0,baseline
105,74,75,74,4123.243783783783,177.46456428896116,30,0,baseline
106,74,75,74,4138.7927027027035,177.2313783037127,30,0,baseline
107,74,74,74,4150.119729729729,177.08269741079624,30,0,baseline
108,74,72,74,4162.6824324324325,176.88911116480458,30,0,baseline
109,74,72,74,4172.876756756757,176.78751322751597,30,0,baseline
110,74,71,74,4184.10081081081,176.62432568247033,30,0,baseline
111,74,71,74,4196.045675675675,176.51161430868447,30,0,baseline
112,74,70,74,4206.857837837839,176.35704919819491,30,0,baseline
113,74,70,74,4315.494324324323,176.59453673355188,30,0,baseline
114,74,67,74,4326.306486486486,176.4166960678007,30,0,baseline
115,74,67,74,4339.487027027027,176.31351802931135,30,0,baseline
116,74,67,74,4351.225945945946,176.1478005277034,30,0,baseline
117,74,67,74,4361.523243243243,176.02811745650996,30,0,baseline
118,74,65,74,4372.85027027027,175.904626285108,30,0,baseline
119,74,62,74,4384.074324324324,175.77098146605064,30,0,baseline
120,74,62,74,4395.401351351352,175.64962741223727,30,0,baseline
121,74,61,74,4407.758108108108,175.57255237240744,30,0,baseline
122,74,61,74,4419.291081081081,175.4250274901724,30,0,baseline
123,74,61,74,4431.647837837837,175.3299864364823,30,0,baseline
124,74,61,74,4443.695675675675,175.13130046840206,30,0,baseline
125,74,58,74,4455.125675675676,175.02338377334144,30,0,baseline
126,74,59,74,4466.555675675675,174.96752650352855,30,0,baseline
127,74,58,74,4477.882702702703,174.88694650609625,30,0,baseline
128,74,57,74,4489.415675675675,174.81153691438874,30,0,baseline
129,74,58,74,4500.330810810809,174.64060525432492,30,0,baseline
130,74,58,74,4511.760810810811,174.6154292895912,30,0,baseline
131,74,58,74,4521.74918918919,174.50864209165675,30,0,baseline
132,74,58,74,4534.105945945947,174.41562007877442,30,0,baseline
133,74,59,74,4617.102162162162,174.32315118074663,30,0,baseline
134,74,59,74,4626.987567567567,174.2566475412898,30,0,baseline
135,74,59,74,4636.358108108109,174.236258142575,30,0,baseline
136,74,59,74,4648.817837837837,174.24480501905003,30,0,baseline
137,74,58,74,4657.776486486486,174.1776166813056,30,0,baseline
138,74,57,74,4655.717027027027,178.85912850894775,30,0,baseline
139,74,57,74,4663.234054054054,178.83886719941088,30,0,baseline
140,74,57,74,4673.325405405407,178.82124502808182,30,0,baseline
141,74,58,74,4682.387027027027,178.75840361791302,30,0,baseline
142,74,58,74,4691.448648648648,178.72957768136567,30,0,baseline
143,74,58,74,4702.981621621621,178.66949746208635,30,0,baseline
144,74,58,74,4713.5878378378375,178.60880450743477,30,0,baseline
145,74,57,74,4723.679189189189,178.60343096771234,30,0,baseline
146,74,57,74,4736.035945945946,178.59224908931066,30,0,baseline
147,74,57,74,4744.376756756757,178.5173609008368,30,0,baseline
148,74,57,74,4752.614594594595,178.47286735565476,30,0,baseline
