step,callsign_a,callsign_b,h_sep_nm,v_sep_ft,alt_a_ft,alt_b_ft,lat_a,lon_a,lat_b,lon_b,duration_steps,resolved_step,severity
0,FFT3470,UAL1457,2.7,274.3,1257.3,1013.46,29.938247680664062,-95.23988611557904,29.909533484507413,-95.2704754997702,7,7,MODERATE
0,NKS1155,NKS2801,2.9192,259.1,1036.3200000000002,1021.08,29.90343514135328,-95.28399299172791,29.895675659179688,-95.2488767183744,39,39,HIGH
0,AAL1511,AJT8313,2.9877,472.4,1013.46,1028.7,25.76527404785156,-80.17466227213538,25.78266906738281,-80.21072387695312,80,80,MODERATE
0,NKS939,UAL1927,2.9486,15.2,1021.08,1036.3200000000002,25.829177856445312,-80.15975952148438,25.81187438964844,-80.17740885416663,161,161,HIGH
0,NAC802,TXG403,2.9898,358.1,1013.46,1013.46,25.772063691737287,-80.1933547685731,25.761310124801376,-80.16671810510024,103,103,HIGH
0,UAL1020,UAL496T,1.3291,114.3,1043.94,1021.08,29.968963623046875,-95.4184139476103,29.95468139648437,-95.40699678308825,50,50,HIGH
0,NKS1846,UAL1927,2.9076,266.7,1021.08,1036.3200000000002,25.817917645987816,-80.1663035266804,25.81187438964844,-80.17740885416663,82,82,CRITICAL
0,ENY3814,UAL2657,2.9302,289.6,1043.94,1028.7,29.91156005859375,-95.27225269990812,29.9154052734375,-95.27386833639709,17,17,CRITICAL
0,FFT3470,NKS1904,1.1589,68.6,1257.3,1097.28,29.938247680664062,-95.23988611557904,29.9381103515625,-95.24871826171876,7,7,CRITICAL
0,AAL165,AAL714,2.8956,670.6,1120.14,1021.08,25.777130126953125,-80.39769490559894,25.778961181640625,-80.39108276367188,166,166,CRITICAL
0,NKS1155,UAL1457,2.9499,45.7,1036.3200000000002,1013.46,29.90343514135328,-95.28399299172791,29.909533484507413,-95.2704754997702,39,39,CRITICAL
0,NKS1171,NKS956,2.9384,388.6,1021.08,1021.08,26.063666909427965,-80.27514531062201,26.064132431806144,-80.26759221003607,226,226,CRITICAL
0,ENY3814,NKS1847,1.0469,121.9,1043.94,1028.7,29.91156005859375,-95.27225269990812,29.891921997070312,-95.24417583759016,25,25,HIGH
0,NKS210,NKS956,2.9888,868.7,1013.46,1021.08,26.074859619140625,-80.24180862138854,26.064132431806144,-80.26759221003607,298,298,HIGH
0,UAL1457,UAL723,2.3863,30.5,1013.46,1127.76,29.909533484507413,-95.2704754997702,29.92140430515095,-95.32342529296876,25,25,MODERATE
0,NKS1847,NKS1904,2.8603,137.2,1028.7,1097.28,29.891921997070312,-95.24417583759016,29.9381103515625,-95.24871826171876,4,4,MODERATE
0,NKS1904,NKS2801,2.797,144.8,1097.28,1021.08,29.9381103515625,-95.24871826171876,29.895675659179688,-95.2488767183744,6,6,MODERATE
0,AJT8313,N453QS,2.9893,327.7,1028.7,1028.7,25.78266906738281,-80.21072387695312,25.787017822265625,-80.21835327148438,236,236,CRITICAL
0,FFT3470,NKS272,2.8867,243.8,1257.3,1074.42,29.938247680664062,-95.23988611557904,29.897003173828125,-95.2521514892578,7,7,MODERATE
0,SHH3006,TXG403,2.8017,83.8,1028.7,1013.46,25.76852572166313,-80.18703244767096,25.761310124801376,-80.16671810510024,316,316,HIGH
0,FFT1418,NKS1155,1.8237,61.0,1013.46,1036.3200000000002,29.937837245100635,-95.24602661132808,29.90343514135328,-95.28399299172791,39,39,MODERATE
0,NKS1904,UAL2657,1.7063,297.2,1097.28,1028.7,29.9381103515625,-95.24871826171876,29.9154052734375,-95.27386833639709,7,7,HIGH
0,AJT8313,TXG403,0.8666,998.2,1028.7,1013.46,25.78266906738281,-80.21072387695312,25.761310124801376,-80.16671810510024,237,237,MODERATE
0,AAL1511,NAC802,2.9698,373.4,1013.46,1013.46,25.76527404785156,-80.17466227213538,25.772063691737287,-80.1933547685731,101,101,HIGH
0,NKS1904,UAL1457,2.3918,152.4,1097.28,1013.46,29.9381103515625,-95.24871826171876,29.909533484507413,-95.2704754997702,6,6,MODERATE
0,N453QS,UAL1927,2.9802,15.2,1028.7,1036.3200000000002,25.787017822265625,-80.21835327148438,25.81187438964844,-80.17740885416663,8,8,MODERATE
0,ENY3814,UAL2662,2.9659,243.8,1043.94,1173.48,29.91156005859375,-95.27225269990812,29.9146728515625,-95.2752147001379,24,24,CRITICAL
0,ENY3814,NKS1155,1.8896,15.2,1043.94,1036.3200000000002,29.91156005859375,-95.27225269990812,29.90343514135328,-95.28399299172791,15,15,CRITICAL
0,NKS3010,UAL2662,1.7195,426.7,1021.08,1173.48,29.896408081054688,-95.25035564716046,29.9146728515625,-95.2752147001379,12,12,HIGH
0,AAL2733,NKS271,2.9443,106.7,1036.3200000000002,1028.7,25.7833293332892,-80.41282221956072,25.78463279594809,-80.38178066037733,344,344,HIGH
0,AAL714,NKS271,2.9362,30.5,1021.08,1028.7,25.778961181640625,-80.39108276367188,25.78463279594809,-80.38178066037733,53,53,CRITICAL
0,FFT3378,NKS271,2.9595,137.2,1028.7,1028.7,25.779744810977224,-80.39623908276826,25.78463279594809,-80.38178066037733,52,52,CRITICAL
0,ENY3814,NKS272,2.9182,541.0,1043.94,1074.42,29.91156005859375,-95.27225269990812,29.897003173828125,-95.2521514892578,20,20,HIGH
0,UAL2662,UAL723,2.5412,45.7,1173.48,1127.76,29.9146728515625,-95.2752147001379,29.92140430515095,-95.32342529296876,1,1,MODERATE
0,AAL2733,FFT3378,2.9915,38.1,1036.3200000000002,1028.7,25.7833293332892,-80.41282221956072,25.779744810977224,-80.39623908276826,46,46,CRITICAL
0,N453QS,SHH3006,2.9662,655.3,1028.7,1028.7,25.787017822265625,-80.21835327148438,25.76852572166313,-80.18703244767096,274,274,MODERATE
0,ENY3814,UAL723,2.2444,45.7,1043.94,1127.76,29.91156005859375,-95.27225269990812,29.92140430515095,-95.32342529296876,15,15,MODERATE
0,AAL1613,SHH3006,2.9544,304.8,1036.3200000000002,1028.7,25.764816284179688,-80.17410278320312,25.76852572166313,-80.18703244767096,274,274,CRITICAL
0,FFT1418,UAL2662,2.9423,381.0,1013.46,1173.48,29.937837245100635,-95.24602661132808,29.9146728515625,-95.2752147001379,9,9,MODERATE
0,NKS1155,NKS272,2.7311,144.8,1036.3200000000002,1074.42,29.90343514135328,-95.28399299172791,29.897003173828125,-95.2521514892578,25,25,HIGH
0,UAL1457,UAL2657,2.9167,632.5,1013.46,1028.7,29.909533484507413,-95.2704754997702,29.9154052734375,-95.27386833639709,8,8,CRITICAL
0,AAL1613,UAL1927,2.9853,0.0,1036.3200000000002,1036.3200000000002,25.764816284179688,-80.17410278320312,25.81187438964844,-80.17740885416663,3,3,MODERATE
0,NKS1847,UAL2657,2.8316,495.3,1028.7,1028.7,29.891921997070312,-95.24417583759016,29.9154052734375,-95.27386833639709,18,18,MODERATE
0,NKS272,UAL2662,2.7763,205.7,1074.42,1173.48,29.897003173828125,-95.2521514892578,29.9146728515625,-95.2752147001379,100,100,HIGH
0,NKS1847,UAL1457,2.9291,213.4,1028.7,1013.46,29.891921997070312,-95.24417583759016,29.909533484507413,-95.2704754997702,20,20,HIGH
0,NKS272,NKS2801,2.8712,640.1,1074.42,1021.08,29.897003173828125,-95.2521514892578,29.895675659179688,-95.2488767183744,53,53,CRITICAL
0,NKS1846,NKS939,2.9474,350.5,1021.08,1021.08,25.817917645987816,-80.1663035266804,25.829177856445312,-80.15975952148438,89,89,CRITICAL
0,NKS2801,UAL2662,2.6348,998.2,1021.08,1173.48,29.895675659179688,-95.2488767183744,29.9146728515625,-95.2752147001379,72,72,HIGH
0,ENY3814,UAL1457,1.5129,7.6,1043.94,1013.46,29.91156005859375,-95.27225269990812,29.909533484507413,-95.2704754997702,15,15,CRITICAL
0,FFT1418,NKS1904,1.6292,312.4,1013.46,1097.28,29.937837245100635,-95.24602661132808,29.9381103515625,-95.24871826171876,7,7,CRITICAL
0,NKS1847,NKS2801,2.847,731.5,1028.7,1021.08,29.891921997070312,-95.24417583759016,29.895675659179688,-95.2488767183744,36,36,CRITICAL
0,ENY3814,FFT3470,2.6738,251.5,1043.94,1257.3,29.91156005859375,-95.27225269990812,29.938247680664062,-95.23988611557904,7,7,MODERATE
0,AAL1511,UAL1927,2.9672,30.5,1013.46,1036.3200000000002,25.76527404785156,-80.17466227213538,25.81187438964844,-80.17740885416663,3,3,MODERATE
0,NKS2801,NKS3010,1.8228,7.6,1021.08,1021.08,29.895675659179688,-95.2488767183744,29.896408081054688,-95.25035564716046,12,12,CRITICAL
0,N453QS,NAC802,2.9735,251.5,1028.7,1013.46,25.787017822265625,-80.21835327148438,25.772063691737287,-80.1933547685731,117,117,HIGH
0,FFT1418,FFT3470,2.9874,731.5,1013.46,1257.3,29.937837245100635,-95.24602661132808,29.938247680664062,-95.23988611557904,13,13,CRITICAL
0,AAL1511,SHH3006,2.9191,91.4,1013.46,1028.7,25.76527404785156,-80.17466227213538,25.76852572166313,-80.18703244767096,212,212,CRITICAL
0,FFT3470,NKS1847,2.9236,251.5,1257.3,1028.7,29.938247680664062,-95.23988611557904,29.891921997070312,-95.24417583759016,4,4,MODERATE
0,ENY3814,NKS1904,2.3916,121.9,1043.94,1097.28,29.91156005859375,-95.27225269990812,29.9381103515625,-95.24871826171876,6,6,MODERATE
0,NKS1904,NKS272,2.7095,114.3,1097.28,1074.42,29.9381103515625,-95.24871826171876,29.897003173828125,-95.2521514892578,6,6,MODERATE
0,AJT8313,SHH3006,0.9524,998.2,1028.7,1028.7,25.78266906738281,-80.21072387695312,25.76852572166313,-80.18703244767096,260,260,HIGH
0,SHH3006,UAL1927,2.9546,0.0,1028.7,1036.3200000000002,25.76852572166313,-80.18703244767096,25.81187438964844,-80.17740885416663,6,6,MODERATE
